"","X","Y","cropland","dec.trees","evgr.trees","shrubland","grassland","bare.soil","wetland","urban","water","dominant","pure","cell.no","red","nir","blue","swir","ndvi","osavi","lswi","is.water","height","slope","aspect","tpi","optional"
"209",25.8531681032515,64.9653058252738,0,0,0,0,4,0,96,0,0,"wetland",TRUE,358701,0.031,0.1925,0.025,0.1795,0.723999977111816,0.837910354137421,0.0349462367594242,0,50,3.48802022926975e-05,5.11512279510498,-0.125,TRUE
"210",23.9781550623132,58.6428090578762,0,0,0,2,0,0,98,0,0,"wetland",TRUE,64596651,0.0285,0.2895,0.021,0.179,0.819999992847443,0.951835989952087,0.235859125852585,0,15,0.0108513375744224,1.08822929859161,-0.625,TRUE
"211",24.9960288941488,64.0545866654463,0,0,0,0,0,0,100,0,0,"wetland",TRUE,9611277,0.0445,0.381,0.0025,0.193,0.791999995708466,0.917195379734039,0.327526122331619,0,108,0.000254543265327811,1.57079637050629,0,TRUE
"212",24.8313659087306,57.3790076627108,0,0,0,1,0,0,99,0,0,"wetland",TRUE,77439431,0.033,0.2215,0.002,0.16,0.740000009536743,0.858904838562012,0.161205768585205,0,68,0.00952330138534307,3.14159274101257,0.125,TRUE
"213",25.9603263473734,64.7152183769252,0,0,0,1,0,0,99,0,0,"wetland",TRUE,2898969,0.063,0.341,0.0145,0.206,0.688000023365021,0.7980597615242,0.246800735592842,0,61,0,1.57079637050629,0,TRUE
"214",27.7043165183909,57.9930544224543,0,0,0,1,0,0,99,0,0,"wetland",TRUE,71202807,0.0315,0.238,0.019,0.146,0.76800000667572,0.888567388057709,0.23958332836628,0,30,0.00644087744876742,1.74682021141052,1,TRUE
"215",25.547637492165,63.9365199447481,0,0,0,1,0,0,99,0,0,"wetland",TRUE,10811353,0.0235,0.279,0.007,0.178,0.843999981880188,0.97950953245163,0.22100655734539,0,137,0.000366082589607686,1.98725187778473,-0.125,TRUE
"216",22.5753528219729,55.1785965224639,0,0,0,0,0,0,100,0,0,"wetland",TRUE,99794597,0.033,0.2455,0.025,0.139,0.763999998569489,0.884844541549683,0.276983082294464,0,37,0.0117951901629567,0.85920262336731,0.125,TRUE
"217",22.8075241552845,55.6816044923835,8,21,0,0,51,2,0,16,2,"grassland",FALSE,94684271,0.04,0.346,0.004,0.204,0.791999995708466,0.919394969940186,0.258181810379028,0,173,0.0258674193173647,5.32945537567139,0.875,TRUE
"218",26.7153097678587,61.4999870416955,0,7,0,5,42,0,0,46,0,"urban",FALSE,35569010,0.042,0.3315,0.042,0.143,0.776000022888184,0.898923933506012,0.397260278463364,0,95,0.0792807638645172,4.75884342193604,0.25,TRUE
"219",26.884931258397,58.2767976862522,0,0,0,0,0,100,0,0,0,"bare.soil",TRUE,68319101,0.098,0.308,0.0585,0.244,0.515999972820282,0.599881768226624,0.115942031145096,0,104,0.11583237349987,3.23866152763367,-2.375,TRUE
"220",22.7331592363151,60.4603305142037,0,10,24,2,13,0,0,51,0,"urban",FALSE,46128836,0.0445,0.2515,0.0305,0.1565,0.699999988079071,0.810997009277344,0.23284313082695,0,47,0.0328051373362541,3.21095395088196,0.375,TRUE
"221",27.536735483958,58.0842948754794,18,10,0,0,45,5,0,22,0,"grassland",FALSE,70275278,0.0305,0.335,0.02,0.1805,0.832000017166138,0.966190695762634,0.299709022045135,0,32,0.01674759760499,4.78827619552612,0.125,TRUE
"222",29.7678499996141,60.0208797655662,0,0,0,5,8,23,36,28,0,"wetland",FALSE,50601367,0.065,0.171,0.0675,0.102,0.448000013828278,0.520840406417847,0.252747267484665,0,0,0,1.57079637050629,0,TRUE
"223",26.5962604035388,60.9454863764828,0,55,11,0,16,0,0,18,0,"dec.trees",FALSE,41203610,0.0185,0.286,0,0.1445,0.879999995231628,1.01877999305725,0.328687578439713,0,80,0.117899812757969,4.69492959976196,3.75,TRUE
"224",23.8373338854855,58.6775820653478,0,41,2,0,6,22,0,29,0,"dec.trees",FALSE,64243709,0.0335,0.3825,0.0195,0.1985,0.839999973773956,0.972985982894897,0.316695362329483,0,18,0.0123055977746844,6.28318548202515,0.375,TRUE
"225",28.8502077051677,64.8948413547868,0,7,1,2,0,0,0,90,0,"urban",FALSE,1077402,0.077,0.2925,0.064,0.163,0.583999991416931,0.676389396190643,0.284302949905396,0,213,0.0222505256533623,1.16711413860321,-0.125,TRUE
"226",23.5515973877935,60.1210737482151,0,70,0,0,20,0,0,10,0,"dec.trees",FALSE,49577021,0.025,0.286,0.02,0.135,0.839999973773956,0.973254442214966,0.358669847249985,0,40,0.0687235966324806,5.94484853744507,-0.25,TRUE
"227",24.7986186527985,64.8491677931322,0,0,0,1,0,99,0,0,0,"bare.soil",TRUE,1536998,0.0455,0.2215,0.0305,0.1425,0.660000026226044,0.764415144920349,0.217032968997955,0,20,0.00798186287283897,2.22044604925031e-15,0.75,TRUE
"228",24.4067491162782,60.3075516338829,0,7,52,0,19,11,0,11,0,"evgr.trees",FALSE,47682843,0.0095,0.262,0,0.126,0.920000016689301,1.07850360870361,0.350515455007553,0,74,0.0854162648320198,4.76393127441406,0.125,TRUE
"229",23.8095641490137,61.5585245979066,0,11,0,58,17,3,0,11,0,"shrubland",FALSE,34971361,0.0185,0.2415,0.0125,0.0965,0.856000006198883,0.99461704492569,0.428994089365005,0,99,0.0293399915099144,5.28120136260986,0.875,TRUE
"230",27.6776149530344,62.9236066647212,0,0,1,0,1,0,0,98,0,"urban",TRUE,21105180,0.0135,0.0535,0.034,0.026,0.596000015735626,0.691711366176605,0.345911949872971,0,101,0.0127735547721386,4.93762397766113,0.5,TRUE
"231",25.4305998316792,55.2599377216363,0,6,0,0,58,6,0,30,0,"grassland",FALSE,98970915,0.0495,0.309,0.03,0.228,0.723999977111816,0.839477956295013,0.150837987661362,0,151,0.0154364919289947,1.90231001377106,0.625,TRUE
"232",21.6904734297348,63.1895049497808,2,21,7,8,45,12,0,5,0,"grassland",FALSE,18397705,0.029,0.362,0.034,0.1615,0.851999998092651,0.987726271152496,0.382999032735825,0,10,0.00146506598684937,1.57079637050629,0,TRUE
"233",25.0992401960493,60.4742303875057,0,4,1,3,7,0,0,85,0,"urban",FALSE,45990101,0.0925,0.242,0.087,0.169,0.448000013828278,0.518321454524994,0.177615568041801,0,53,0.010862267576158,3.32281637191772,-0.5,TRUE
"234",23.9018561675435,61.4653130798625,0,8,0,22,5,10,0,55,0,"urban",FALSE,35918974,0.043,0.2065,0.0285,0.1275,0.656000018119812,0.759916663169861,0.23652695119381,0,120,0.0489436574280262,4.21646308898926,-1.375,TRUE
"235",28.2579238555288,64.1547282526763,0,10,6,13,17,0,0,54,0,"urban",FALSE,8596485,0.0295,0.229,0.014,0.145,0.772000014781952,0.894964814186096,0.224598929286003,0,145,0.0425728522241116,4.74163913726807,0.125,TRUE
"236",24.6101839944465,55.4930694330744,4,15,0,3,38,7,0,33,0,"grassland",FALSE,96601288,0.0485,0.35,0.032,0.2215,0.755999982357025,0.877465009689331,0.22484689950943,0,82,0.00671816430985928,3.86138153076172,1,TRUE
"237",21.1656859700164,55.7073342271677,0,0,0,0,0,0,0,100,0,"urban",TRUE,94420536,0.0845,0.213,0.0805,0.1855,0.432000011205673,0.500907301902771,0.0690087825059891,0,7,0.0126749845221639,4.00741577148438,-1.125,TRUE
"238",27.7192735780121,64.2133411229966,0,0,0,0,2,0,0,98,0,"urban",TRUE,8001222,0.1215,0.3175,0.075,0.226,0.448000013828278,0.517809987068176,0.168353259563446,0,140,0.0196479707956314,4.71238899230957,-1,TRUE
"239",20.0208312821825,63.8561564466016,34,4,0,2,20,25,0,15,0,"cropland",FALSE,11622262,0.03,0.302,0.0115,0.123,0.819999992847443,0.950132489204407,0.421176463365555,0,90,0,4.71238899230957,0,TRUE
"240",25.9266224527273,59.1369039029487,29,1,0,10,43,11,0,6,0,"grassland",FALSE,59578775,0.043,0.398,0.0195,0.199,0.804000020027161,0.933617472648621,0.333333343267441,0,112,0.0213063769042492,5.71002435684204,0.875,TRUE
"241",23.8433214867342,60.1130978246792,0,0,11,4,85,0,0,0,0,"grassland",FALSE,49657955,0,0.0905,0.021,0.052,0.920000016689301,1.158975481987,0.27017542719841,0,67,0.127805829048157,3.35201287269592,6.125,TRUE
"242",28.3422888984666,60.9127023144936,100,0,0,0,0,0,0,0,0,"cropland",TRUE,41538010,0.0245,0.348,0.006,0.159,0.867999970912933,1.00719308853149,0.372781068086624,0,60,0.0022514380980283,1.73251104354858,-0.25,TRUE
"243",23.3353319066506,60.5545226800548,0,0,28,0,72,0,0,0,0,"grassland",FALSE,45171843,0.006,0.217,0.005,0.1135,0.920000016689301,1.09718489646912,0.313161879777908,0,90,0.00165475835092366,5.17195415496826,0.125,TRUE
"244",29.0416842231477,60.5932879037586,9,9,0,16,24,25,0,17,0,"bare.soil",FALSE,44784475,0.042,0.2715,0.033,0.1765,0.73199999332428,0.84896993637085,0.212053567171097,0,41,0.0196312367916107,5.95798873901367,-0.5,TRUE
"245",24.9533941813128,64.7509824345783,100,0,0,0,0,0,0,0,0,"cropland",TRUE,2535074,0.033,0.3885,0.018,0.149,0.843999981880188,0.978177309036255,0.445581406354904,0,39,0.00777423055842519,2.70572996139526,0.25,TRUE
"246",23.4176384633155,60.8382939179492,0,0,2,0,98,0,0,0,0,"grassland",TRUE,42289046,0.018,0.258,0.011,0.145,0.867999970912933,1.0084034204483,0.280397027730942,0,100,0.0531545877456665,5.12599229812622,0,TRUE
"247",23.5714933181441,60.8263999626364,0,0,0,0,10,41,0,49,0,"urban",FALSE,42410161,0.0245,0.085,0.034,0.057,0.551999986171722,0.640445351600647,0.197183102369308,0,91,0.0120691061019897,3.99680288865056e-15,-0.5,TRUE
"248",29.8690453466494,59.8233634389156,0,12,0,2,56,0,0,0,30,"grassland",FALSE,52607389,0.0135,0.1845,0.0065,0.115,0.864000022411346,1.00141358375549,0.232053428888321,0,48,0.0125243458896875,0.275136500597,1.75,TRUE
"249",24.8938840793315,64.2430612233906,100,0,0,0,0,0,0,0,0,"cropland",TRUE,7695974,0.0015,0.2195,0.0015,0.077,0.920000016689301,1.14383935928345,0.480607092380524,0,77,0.0068662934936583,4.92773866653442,-0.125,TRUE
"250",25.2013807731946,60.5099476817697,0,13,0,0,87,0,0,0,0,"grassland",FALSE,45627324,0.02,0.4015,0.025,0.2055,0.903999984264374,1.04971778392792,0.322899520397186,0,65,0.0215766690671444,3.2597336769104,-0.125,TRUE
"251",22.9007744838632,59.9265536555105,0,14,49,0,37,0,0,0,0,"evgr.trees",FALSE,51552045,0.026,0.2585,0.0145,0.1525,0.815999984741211,0.947712421417236,0.257907539606094,0,18,0.0460458397865295,1.38702988624573,-0.25,TRUE
"252",26.6398918892462,60.8263934007435,0,0,0,0,100,0,0,0,0,"grassland",TRUE,42413254,0.029,0.3,0.0245,0.155,0.824000000953674,0.95526921749115,0.318681329488754,0,68,0.0358390919864178,3.73825120925903,1.375,TRUE
"253",29.7004738824941,64.2301381294449,92,0,0,0,0,6,0,2,0,"cropland",FALSE,7831859,0.013,0.263,0.0065,0.097,0.903999984264374,1.05042016506195,0.461111098527908,0,171,0.0134514076635242,6.13203144073486,0.125,TRUE
"254",28.3918743844716,64.6776176439614,0,0,0,0,0,100,0,0,0,"bare.soil",TRUE,3284460,0.084,0.217,0.087,0.17,0.439999997615814,0.51242196559906,0.121447026729584,0,180,0.000425073900260031,3.14159274101257,0.5,TRUE
"255",28.1448140083596,59.1269820277224,0,0,0,0,0,100,0,0,0,"bare.soil",TRUE,59681811,0.0245,0.0735,0.0175,0.0755,0.5,0.579526901245117,-0.0134228188544512,0,50,0.0376647859811783,5.84607887268066,0.625,TRUE
"256",22.4483949583486,61.9404474872479,0,0,0,0,23,77,0,0,0,"bare.soil",FALSE,31089189,0.1515,0.29,0.1235,0.2335,0.312000006437302,0.363829880952835,0.107927411794662,0,130,0.00721065048128366,4.86894989013672,0.25,TRUE
